merchant_id,new_id,store_name,marketplace_id
,,Acton Morrisons,,
A1KDGRVT6JAV6B,,Belle Vale Morrisons,,
A1J0O97I45QZDX,,Byker Morrisons,,
ABSIINJY6WMFP,,Cardonald Morrisons,,
,,Carterton Morrisons,,
A12LE3LSMROY5L,,Catcliffe Morrisons,,
A2R9PD5POGFRYZ,,Croydon Morrisons,,
A17R94VCUAX2HF,,Eccles Morrisons,,
A2HCDD2YCDNL9W,,Glenrothes,,
ALZ8JD7G4V266,,Hunslet Morrisons,,
A28E2UVB6YHVNS,,Jarrow Morrisons,,
AWMIIQU4Q4RLF,,Morrison Preston - Riversway,,
AR3WRKH0CCY9U,,Morrisons Aberdeen,,
A1YEIMDDJK65I4,,Morrisons Analby,,
AOYLFETG4IX6O,,Morrisons Anniesland,,
A2AYE33H5ZUKV8,,Morrisons Auckland,,
A1NQNEGG6XV251,,Morrisons Baglan Moor,,
A1RGC6DRK6OULD,,Morrisons Banbury,,
,,Morrisons Basingstoke,,
A9CJS16UYIOLE,,Morrisons Becontree Heath,,
,,Morrisons Bedford,,
,,Morrisons Binley,,
A3CNOWTIYCBQH3,,Morrisons Boroughbridge,,
A2QRDVP6PCTD7P,,Morrisons Bristol,,
,,Morrisons Bromsgrove,,
,,Morrisons Bulwell,,
AE9RZ060RRTW9,,Morrisons Cambourne,,
A3J8FK225KBWG7,,Morrisons Canning Town,,
A2RM8APFZW2LBX,,Morrisons Canterbury,,
A530EFFU0O4RY,,Morrisons Canvey Island,,
A3W2L835GZRAX2,,Morrisons Cardiff Tygals,,
A2JY937J4M2YC9,,Morrisons Chingford,,
AZYN661EVIS2G,,Morrisons Chippenham,,
,,Morrisons Cleethorpes,,
A2G3ABJT9DRB6H,,Morrisons Coalville,,
A15JAWWZXFLQSZ,,Morrisons Connahs Quay,,
A1RICV2OYK6UMV,,Morrisons Corby,,
,,Morrisons Derby,,
A2TDAPGOD3DG4W,,Morrisons Dundee,,
AZMPH1WVXI9VI,,Morrisons Eastbourne,,
,,Morrisons Ebbw Vale,,
A332ZNP7KYGUEL,,Morrisons Exeter,,
,,Morrisons Gloucester,,
A27VG64BDPNGHK,,Morrisons Gorleston,,
A11EZZXC0FYVXM,,Morrisons Gravesend,,
A1D2MJ4S2VG5K2,,Morrisons Gyle,,
ARDAP68BE7XAX,,Morrisons Halifax,,
A1HRHCYL00QZKP,,Morrisons Harrow - Trident Point,,
A3VZIKC29M0O2W,,Morrisons High Wycombe,,
,,Morrisons Ipswich,,
A1U9XXBO5FJH2O,,Morrisons Kirkstall,,
A2L2SPS8N4OUON,,Morrisons Leicester,,
A2W343O2W3728U,,Morrisons Lincoln,,
ARI2IFNUSCZD4,,Morrisons Maidstone,,
AHWQLKDB567D9,,Morrisons Middlesbrough,,
A3CFK4VX6QYYAU,,Morrisons Milton Keynes,,
A2HK3MOXMK63GS,,Morrisons Nelson,,
,,Morrisons Newark,,
A35REFURK6Z9QD,,Morrisons Newport,,
A22JR83J9BLKOW,,Morrisons Northampton,,
A3641VZ9EL3ZLI,,Morrisons Norwich,,
,,Morrisons Oldham,,
A2DP2KUCPG8WZ0,,Morrisons Oxted,,
A3A3LFPT4CMUIQ,,Morrisons Peterborough,,
A1B68698Q7DOO5,,Morrisons Plymouth,,
AWMIIQU4Q4RLF,,Morrisons Preston,,
A3MIBTKICT9P0A,,Morrisons Reading,,
A1HR9BR4GI6EI3,,Morrisons Redruth,,
A27SH5NSDRHEQE,,Morrisons Rhyl,,
AEY5HLCAW6K5T,,Morrisons Staveley,,
A31PYH6SWKUP3W,,Morrisons Stevenson,,
ARQJBZJSL9SPH,,Morrisons Stirling,,
AGSGFPU3FTF03,,Morrisons Stoke,,
,,Morrisons Sutton,,
A3MINBZL6VYED6,,Morrisons Swindon,,
A3SX7WTPAAU5PS,,Morrisons Taunton,,
A17RPO3GZI2IUO,,Morrisons Thornton Cleveleys,,
A25XJSNY0EPLVI,,Morrisons Totnes,,
AS2SBM6RJK88J,,Morrisons Totton,,
A299P18YFEDOUL,,Morrisons Verwood,,
A1VER0SFLAR3S6,,Morrisons Warminster,,
A1XL9ME7TBTE7U,,Morrisons Welling,,
A1XL9ME7TBTE7U,,Morrisons Wellington,,
A3IJEL5EKR7SFA,,Morrisons Welwyn,,
,,Morrisons Weston Super Mare,,
A23J015VQRD4Y7,,Morrisons Winsford,,
A31JTST84Y6ARG,,Morrisons Wisbech,,
A3BA4KQG25W5FM,,Morrisons Witham,,
A1W8E6U65QHVNW,,Morrisons Worthing,,
AQRSHL2Y5EVHT,,Morrisons Wrexham,,
AF1HKAFAECT3G,,Morrisons York,,
AY5CM7XPHJ4QW,,Peckham Morrisons,,
A22B0WPRGF6NA6,,Portsmouth Morrisons,,
A3FS05Z9P7KLCT,,Queensbury Morrisons,,
A2CJT66RFATYKL,,Reddish Morrisons,,
A1JWDVZVZ6DQ3P,,Sheldon Morrisons,,
,,St Helens Morrisons,,
A3L2WCBX4NBSPG,,Stratford Morrisons,,
,,Thornbury Morrisons,,
AWJRHY3KE6MVX,,Walsall Morrisons,,
AIA139C5NOMRJ,,Watford Morrisons,,
,,Weybridge Morrisons,,
A261C0MAVUD2MX,,Woking Morrisons,,
